epsilon,rashomon_size,candidate_auc_mean,candidate_auc_min,candidate_auc_max
0.0,2,0.7100224750667228,0.7100224750667228,0.7100224750667228
0.005,5,0.7084759095378563,0.7051130776794494,0.7100224750667228
0.01,41,0.7026385933897266,0.7000351172917545,0.7100224750667228
0.015,104,0.6998751985477648,0.69511869644613,0.7100224750667228
0.02,120,0.6989079692840754,0.6903427447675237,0.7100224750667228
0.025,151,0.6966418566488893,0.685054080629302,0.7100224750667228
0.03,197,0.6934292873221942,0.680039331366765,0.7100224750667228
0.035,296,0.6886306581549944,0.6756707402725102,0.7100224750667228
0.04,302,0.6883061744106108,0.6700379266750949,0.7100224750667228
0.045,305,0.688107442793356,0.6668563000421408,0.7100224750667228
0.05,307,0.6879419802858158,0.6614060963618486,0.7100224750667228
