saved_tree_index,candidate_tree_index,candidate_auc
0,2,0.7015030200870909
1,5,0.7000421407501054
2,12,0.7051130776794494
3,20,0.7036030341340076
4,26,0.7026899845483916
5,32,0.7003160556257901
6,37,0.7041789577187808
7,44,0.7040384885517629
8,53,0.70299199325748
9,57,0.7019314510464953
10,68,0.7086107599381936
11,69,0.7004916420845624
12,71,0.7046144121365361
13,74,0.702402022756005
14,77,0.7043896614693075
15,81,0.7032448377581121
16,83,0.7100224750667228
17,87,0.7043896614693075
18,89,0.7014117151285293
19,93,0.7100224750667228
20,95,0.7048672566371682
21,97,0.7000351172917545
22,99,0.7029779463407781
23,106,0.7006461581682821
24,111,0.7002458210422812
25,127,0.7019384745048464
26,128,0.7025424919230229
27,140,0.7002458210422812
28,147,0.7031465093411996
29,157,0.7047689282202557
30,175,0.7086107599381936
31,199,0.7004916420845624
32,210,0.7001053518752633
33,228,0.7004916420845624
34,233,0.7002458210422812
35,271,0.7003090321674392
36,279,0.700063211125158
37,282,0.7003090321674392
38,299,0.7000351172917545
39,300,0.700063211125158
40,303,0.7000351172917545
