tree_index,auc,brier,ece,mce,n_nodes,n_leaves
0,0.7015030200870909,0.1254776776153483,0.17531232638712307,0.5357142857142857,73,37
1,0.7000421407501054,0.12590096314866409,0.17722746348439272,0.5357142857142857,71,36
2,0.7086107599381936,0.12578790381395616,0.15967904553638984,0.3622883936183169,77,39
3,0.7004916420845624,0.1257271057695784,0.15025237580581774,0.2903091060985797,87,44
4,0.7046144121365361,0.1222130541949544,0.11862792906853646,0.40372670807453415,53,27
5,0.702402022756005,0.12252752044326741,0.12049016908989067,0.40372670807453415,53,27
6,0.7043896614693075,0.12500743641634535,0.15136956249036065,0.40372670807453415,77,39
7,0.7032448377581121,0.12243533029668388,0.12031674840422604,0.40372670807453415,53,27
8,0.7100224750667228,0.12515330024611723,0.14888178905683974,0.3622883936183169,81,41
9,0.7043896614693075,0.12500743641634535,0.15136956249036065,0.40372670807453415,77,39
10,0.7014117151285293,0.1227763869941295,0.13726405464980945,0.5357142857142857,51,26
11,0.7100224750667228,0.12515330024611723,0.14888178905683974,0.3622883936183169,81,41
12,0.7051130776794494,0.12214293252833947,0.11981717530263393,0.40372670807453415,53,27
13,0.7048672566371682,0.12219636875900344,0.1186627972871807,0.40372670807453415,53,27
14,0.7000351172917545,0.12577517344887088,0.1501912212069919,0.2903091060985797,87,44
15,0.7029779463407781,0.12540708258471103,0.17699463818048589,0.5357142857142857,73,37
16,0.7006461581682821,0.1255578694521677,0.1741998317217641,0.5357142857142857,71,36
17,0.7002458210422812,0.1257339725809059,0.15022798080191455,0.2903091060985797,87,44
18,0.7019384745048464,0.12249377465468428,0.14156559373176178,0.5357142857142857,51,26
19,0.7025424919230229,0.12244699361964,0.14200884711060852,0.5357142857142857,53,27
20,0.7002458210422812,0.1257339725809059,0.15022798080191455,0.2903091060985797,87,44
21,0.7031465093411996,0.12237148890900745,0.14180023834488922,0.5357142857142857,53,27
22,0.7047689282202557,0.12213252737132699,0.14014692379932084,0.5357142857142857,53,27
23,0.7036030341340076,0.12225481311700385,0.14035608777561107,0.5357142857142857,51,26
24,0.7086107599381936,0.12578790381395616,0.15967904553638984,0.3622883936183169,77,39
25,0.7004916420845624,0.1257271057695784,0.15025237580581774,0.2903091060985797,87,44
26,0.7001053518752633,0.12628331748710528,0.1614622067175809,0.3412698412698413,87,44
27,0.7004916420845624,0.1257271057695784,0.15025237580581774,0.2903091060985797,87,44
28,0.7002458210422812,0.1257339725809059,0.15022798080191455,0.2903091060985797,87,44
29,0.7003090321674392,0.12622151618515784,0.17065375804930524,0.4523809523809524,87,44
30,0.700063211125158,0.1262283829964853,0.17062936304540205,0.4523809523809524,87,44
31,0.7003090321674392,0.12622151618515784,0.17065375804930524,0.4523809523809524,87,44
32,0.7000351172917545,0.12577517344887088,0.1501912212069919,0.2903091060985797,87,44
33,0.700063211125158,0.1262283829964853,0.17062936304540205,0.4523809523809524,87,44
34,0.7026899845483916,0.12243329329763311,0.13544122733707709,0.5357142857142857,51,26
35,0.7000351172917545,0.12577517344887088,0.1501912212069919,0.2903091060985797,87,44
36,0.7003160556257901,0.12575722602283043,0.17574690425064224,0.5357142857142857,71,36
37,0.7041789577187808,0.12220803208195957,0.1403553769378628,0.5357142857142857,53,27
38,0.7040384885517629,0.12228855890558697,0.11883606860201258,0.40372670807453415,53,27
39,0.70299199325748,0.12245201573263484,0.12028188018558181,0.40372670807453415,53,27
40,0.7019314510464953,0.12263264986829582,0.13646747681202562,0.5357142857142857,51,26
